Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	193c7ce7-3869-4f1f-b204-404e65ab7641	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	853.4	539.83	6653.2197	424.0976	3824.7317	173.9955	0.5881	20.3654
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	a08879d6-0f30-4f0d-8474-e66d9b788d6e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	403.01	766.11	1883.8422	410.5526	2483.7632	173.8829	0.6792	17.2407
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	3bc3173d-1948-48df-8996-91c2edd044db	Detection		NeuN: Ignore*	Root object (Image)	Polygon	406.12	180.25	1333.1464	210.2195	994.8049	173.7676	0.5799	21.8279
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	cfc56b63-cad5-482d-8f99-3f6d99b2c214	Detection		NeuN: Ignore*	Root object (Image)	Polygon	754.82	341.17	2879.5	676.9286	1856.1904	173.1228	0.5609	19.4713
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	e551d9ec-fed1-4c8e-8b2f-f23b58dedf97	Detection		NeuN: Ignore*	Root object (Image)	Polygon	376.14	187.81	1605.8649	236.5946	1228.6487	171.3707	0.5109	23.5042
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	fb2bbe68-eb27-4263-9966-4c2a1ad7e768	Detection		NeuN: Ignore*	Root object (Image)	Polygon	482.62	704.63	1966.6586	365.0488	1876.2195	171.5015	0.5825	19.3198
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	cf2113c9-5c33-4446-98f6-58cafd48ff25	Detection		NeuN: Ignore*	Root object (Image)	Polygon	431.97	246.38	1523.2325	245.9767	1114.5349	169.1243	0.5469	20.4056
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	b96e6c02-0863-4d1c-8062-4aeccf629026	Detection		NeuN: Ignore*	Root object (Image)	Polygon	360.83	224.07	1643.1892	260.5405	1072.5946	168.1344	0.5642	20.946
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	b2e70841-7df9-4879-bf35-18477b2c3f54	Detection		NeuN: Ignore*	Root object (Image)	Polygon	492.86	699.4	1897.9459	853.4054	1773.4324	167.4987	0.6615	17.6839
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	d70aed49-1ea4-43f7-9885-13913a6f25cd	Detection		Ignore*	Root object (Image)	Polygon	260.07	443.16	929.9167	185.7222	349.4167	166.8906	0.4683	25.305
