Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	df6c96bd-1b33-4503-8acd-8856c0f02819	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	668.9	731.19	6795.0269	286.8021	5963.6631	763.3913	0.7012	33.542
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	9a533ca4-e8b8-4237-9ef8-8b419b5010dd	Detection		NeuN: Ignore*	Root object (Image)	Polygon	1004.4	574.16	1987.1882	402.6129	6322.231	757.7576	0.5816	38.3391
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	d28fc224-0175-4197-b6ea-2ac1377c1cab	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	636.44	638.76	4758.3862	238.108	3995.5342	756.2603	0.6923	37.1654
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	20edeed2-87e5-41e8-a47a-0250ad229e60	Detection		NeuN: Ignore*	Root object (Image)	Polygon	773.54	411.38	2792.8601	434.6237	6490.2471	752.8614	0.5887	37.4706
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	f773479a-5eaa-46b9-bb9d-7eece91cf0ad	Detection		NeuN: Ignore*	Root object (Image)	Polygon	511.68	364.11	2365.5247	591.5629	3644.1748	751.8812	0.6851	34.4924
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	10d954eb-c5b3-4d92-aaf8-324661ef3eac	Detection		NeuN: Ignore*	Root object (Image)	Polygon	833.29	555.92	2668.7349	388.9834	6500.7734	743.8549	0.6391	39.6652
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	26a1b6a5-1c78-4717-8f04-ec17c827e676	Detection		NeuN: Ignore*	Root object (Image)	Polygon	407.4	854.45	1828.1593	376.4615	5827.9067	737.7339	0.6434	36.2799
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	a690abd7-7c1b-4ee6-b3e4-8ced752e4695	Detection		NeuN: Ignore*	Root object (Image)	Polygon	570.97	433.26	2129.3728	448.8701	5321.4805	736.2714	0.655	35.4796
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	6ef5acec-44b8-4f9f-a353-a5f668663d28	Detection		NeuN: Ignore*	Root object (Image)	Polygon	752.01	433.16	1964.0614	385.581	5299.6479	736.3799	0.5639	39.2933
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	8fe7c88c-c54e-426f-a66c-62208658a3dc	Detection		NeuN: Ignore*	Root object (Image)	Polygon	419.18	392.47	2427.1721	556.8945	6827.2832	733.5987	0.6405	35.8414
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	9f6a8af0-8fd9-4720-947b-58d665f6f99c	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	598.45	518.32	4694.022	393.9286	5033.8955	731.4826	0.524	40.49
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	b278aaa5-bf74-4d7b-a37e-7ccd40c63737	Detection		NeuN: Ignore*	Root object (Image)	Polygon	698.65	617.62	2265.8845	433.2198	4850.6372	730.9951	0.6958	33.36
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	f56d8afe-dc55-4480-bac6-2e8b945fdf6f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	547.63	907.43	2368.3406	413.2857	5369.5332	730.8605	0.5863	36.7458
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	394d0c9f-edb0-4f3f-b98c-6d84fa140b50	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	914.59	803.52	5302.4775	1117.8944	6374.9722	726.2739	0.5071	39.852
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	7dbeba2c-88fd-4d5d-bed6-9baa9c73987a	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	864.79	727.32	7968.1665	1326.1389	6174.0669	724.2593	0.58	42.2028
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	b4da98ed-8fc7-4d0f-a834-961f8245b196	Detection		NeuN: Ignore*	Root object (Image)	Polygon	989.73	772.18	2243.8352	358.2102	9494.6309	724.0159	0.5812	37.8585
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	e7a730f0-b50f-4e4d-9330-285e451c1ee2	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	939.8	782.37	10714.959	536.5117	8129.6567	721.0016	0.6015	40.06
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	2223e165-bcc6-4999-af78-0ab60eb134e7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	592.73	459.92	2090.6399	411.7943	4531.8569	715.2635	0.6921	34.4248
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	d370748e-22d0-4551-b129-be8e34c73c2e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	708.7	357.92	2215.7344	477.678	5626.5254	711.6773	0.6158	37.3178
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	95402c8d-cef7-462a-b630-7c70e7a6d13e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	1003.2	869.86	2625.9148	379.9829	7342.9546	712.2388	0.5716	40.3657
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	a2ed92e3-33c4-4233-b1e8-2c2e1044132c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	849.27	419.05	2162.842	384.5731	4701.415	701.4911	0.5441	38.6392
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	7d890936-af8e-41a9-9473-88928540eb36	Detection		NeuN: Ignore*	Root object (Image)	Polygon	588.28	728.67	1671.6023	303.3333	5788.6489	694.2478	0.6604	35.7109
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	2482c364-e9ef-44a6-b0ea-92b20895d735	Detection		NeuN: Ignore*	Root object (Image)	Polygon	916.33	873.26	3761.593	486.2384	9096.5059	690.9857	0.5218	35.7408
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	497f71c2-9dcf-4e01-a16a-46b15388cf34	Detection		NeuN: Ignore*	Root object (Image)	Polygon	801.66	530.83	2411.1428	375.756	8784.7207	687.1318	0.6075	35.784
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	c826b22c-1dd1-44bf-bb66-47c747f6b867	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	651.61	411.86	6042.0942	459.1588	5670.8237	681.2424	0.6316	36.4428
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	2d3c5048-75b6-435f-ae20-d4ee71ce82cf	Detection		NeuN: Ignore*	Root object (Image)	Polygon	740.42	568.41	2225.9043	436.5808	6109.4551	677.7681	0.6559	32.7708
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	0455d441-2818-4b09-af90-f33365a4594f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	693.47	575.86	2757.3013	368.7711	5049.6987	676.3879	0.6668	33.2073
