Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	2a3ca90d-46d7-4ac6-bfb7-c0355dbc1818	Detection		NeuN: Ignore*	Root object (Image)	Polygon	360.25	305.64	2790.8181	465.4818	4942.6089	453.7517	0.5923	29.2368
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	ff28ff5a-20f8-40bd-8bf5-4f1206893ca3	Detection		NeuN: Ignore*	Root object (Image)	Polygon	329.78	81.74	2802.2314	448.2778	4975.75	451.5279	0.5924	33.0173
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	a0de9fef-c98f-4429-a76b-c563f09da4de	Detection		NeuN: Ignore*	Root object (Image)	Polygon	453.12	231.87	3514.156	446.6147	6917.4404	449.3838	0.633	27.4616
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	0e5528a7-3c38-483c-9e0a-347d8e88cb54	Detection		NeuN: Ignore*	Root object (Image)	Polygon	324.07	374.43	3754.219	395.2191	3747.8381	444.7478	0.6755	27.9533
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	b71247b9-3d10-4b1a-8e73-95b277c7de9e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	127.84	533.13	2662.7185	448.1456	4552.7866	441.5183	0.6486	29.2297
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	49ce790b-4533-48be-af00-ac5e41d6000c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	314.02	156.18	2918.9619	508.1905	3819.9333	437.8724	0.5944	29.0299
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	6787279d-8938-40e4-8ec1-40cd1529dea2	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	166.1	510.41	4290.9434	420.5	4143.896	430.3766	0.5794	31.3855
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	fcffab86-ee28-4a60-9cbe-79c7c1288b79	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	318.69	205.59	5026.876	476.6857	5801.2192	429.6162	0.659	25.1839
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	528f5b3d-0508-4b68-8e22-937bec9f5a97	Detection		NeuN: Ignore*	Root object (Image)	Polygon	327.63	145.53	3640.3462	514.8461	6066.0386	426.8997	0.6536	28.216
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	5fdf2ccf-51fe-4d79-a162-4fc5bb98c055	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	355.19	265.24	4358.165	424.134	4914.8452	424.121	0.6733	29.9088
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	66ac68d4-e7a2-4d06-a776-58b693fa27bd	Detection		NeuN: Ignore*	Root object (Image)	Polygon	323.41	299.79	2043.7075	439.0378	6369.8208	421.8631	0.6113	29.9211
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	84f0271e-15e9-4cd7-832f-ad3bbc59c1e4	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	73.98	458.5	5167.2764	443.8667	8012.9429	420.3718	0.616	28.9732
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	8e577246-9408-4ca1-8c4f-3c1214106124	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	248.02	112.31	4038.9897	497.1122	4700.8062	420.0066	0.5902	32.4988
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	36b9e522-03e0-4cd0-95b0-52a700343043	Detection		NeuN: Ignore*	Root object (Image)	Polygon	432.27	396.58	1707.2233	498.2427	6828	414.3691	0.5759	29.1642
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	3c3ad8d5-e68e-4b83-94d2-cc8dbe535ea6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	381.15	60.81	2350.9707	450.9412	3973.3628	412.8953	0.5402	30.9043
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	c76a3256-31a2-412a-9865-ea7a672a7ec3	Detection		NeuN: Ignore*	Root object (Image)	Polygon	138.03	197.75	1511.2828	380.0909	5925.7271	412.5013	0.6306	28.4369
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	b4d684e1-25b3-4dab-bc8d-64087c623456	Detection		NeuN: Ignore*	Root object (Image)	Polygon	473.51	223.72	2031.11	415.15	5688.5601	410.245	0.6141	26.862
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	2355cd73-d0c0-4a6d-9f5a-acae51d15c72	Detection		NeuN: Ignore*	Root object (Image)	Polygon	225.42	83.74	2081.04	617.19	4209.0898	407.6131	0.596	27.8901
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	7470b622-6012-4db7-bfd9-7047b696f8eb	Detection		NeuN: Ignore*	Root object (Image)	Polygon	272.15	138.83	2157.7812	1011.8125	3165.302	404.6153	0.6594	25.7271
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	74656c2c-fbb4-4072-9f1c-044058803a55	Detection		NeuN: Ignore*	Root object (Image)	Polygon	353.95	59.84	2303.6101	501.03	3964.8201	401.9834	0.5181	33.3656
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	b80c589a-d698-4e3c-b6bb-5579f8cb0ef7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	206.7	116.18	3027.4575	592.2979	4282.3296	398.0001	0.5587	26.8126
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	a5e783e0-9a66-4df5-b806-992773673b72	Detection		NeuN: Ignore*	Root object (Image)	Polygon	487.44	246.29	2463.0527	380.7158	7411.0107	395.1316	0.598	31.6541
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	71f8d932-08d9-489a-bf26-dbafa5b3f2fb	Detection		NeuN: Ignore*	Root object (Image)	Polygon	374.4	376.88	1431.3191	417.9468	4966.7661	391.007	0.5487	31.2951
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	ccbc9627-c09f-459c-899e-d9fb9f4de72e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	237.18	321.04	2612.7444	490.9111	7480.7002	385.6427	0.6735	26.7881
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	05cf2e3e-d7c6-411c-b233-f8604888168d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	188.26	185.9	1976.2174	397.7609	5689.8262	384.243	0.6832	25.8056
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	17671289-0b32-41a5-8032-6cab87d39870	Detection		NeuN: Ignore*	Root object (Image)	Polygon	218.45	101.77	2951.2903	417.957	4084.5376	377.5008	0.5664	29.2725
