Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	7005e3d4-34e3-40bd-8391-a6c3eec044f4	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	150.85	378.38	6616.5811	362.946	3419.2163	310.7758	0.7311	22.0094
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	a5f01f0f-fec9-4379-b393-76c10c7f5420	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	160.97	308.77	6017.9028	502.6111	5047.2363	310.5094	0.5208	29.7743
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	9d234581-2f5f-4f64-b2b0-41a57ef674d2	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	274.7	156.67	17016.5156	538.353	5119.397	309.3687	0.5494	28.503
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	b022f8c5-fb3d-4a48-88f6-13d02f818676	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	407.16	303.12	5526.2402	499.56	5409.3467	305.9951	0.5127	28.0557
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	019314a0-420c-4d28-923b-c466e1c744ab	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	292.4	379.15	6141.2637	441.3472	2880.1943	304.2559	0.6726	22.5605
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	34f1f67d-0731-4e5d-95f8-81a5b6008ff1	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	150.53	293.08	9258.3525	477.338	4397.8169	302.4998	0.6203	24.1325
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	dd88aaaf-6cc2-4de9-bd43-1ebbaed32c98	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	427.94	257.28	10150.7461	555.1045	3485.8657	295.4911	0.6747	22.6199
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	7e35b5a0-fe7e-45c3-97ae-a51172ac6bb3	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	489.92	357.38	8509.5811	445.9595	7079.7432	294.4917	0.6306	23.6233
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	c20ad8a7-0a39-4ffd-8209-49d8fec2ec09	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	241.66	493.09	7306.2002	353.3857	4073.6858	294.634	0.4622	24.7705
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	d12217bc-9550-487d-b212-a61f410b0910	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	441.88	354.32	6937.0283	495.831	4402.8169	293.8732	0.6177	23.6374
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	5108f047-c948-4ae3-a844-239f58ac27d9	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	414.94	266.68	8045.5884	503.7059	4394.147	291.863	0.5639	23.4184
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	d931430d-a833-4486-bd0c-f93b9283d3b2	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	426.69	308.57	6235.7461	493.2222	4355.0796	283.4887	0.6268	24.0499
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	a1d6f81f-3e8a-4894-9fd0-7451c5ddc89b	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	92.93	379.18	18877.75	487.3281	9219.1094	283.7703	0.6233	22.9781
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	8b3969ff-9b29-4c4d-baa3-a3532f80e6f3	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	380.56	262.69	4340.2119	537.7121	4345.5303	281.5035	0.6766	23.9427
