Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	a96270a7-41bb-4898-8edf-3cbadd2720be	Detection		NeuN: Ignore*	Root object (Image)	Polygon	879.58	674.8	1903.2096	450.0779	2398.8323	688.4976	0.642	37.074
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	ec3f34c0-2675-44a3-aa74-865d6d6301a5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	1242	680.16	1083.0244	284.5732	1097.5061	687.137	0.6474	34.2365
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	b52a3ae7-aac0-41ba-bde5-bd35db703250	Detection		NeuN: Ignore*	Root object (Image)	Polygon	760.86	546.37	2648.1873	645.5555	5806.7778	686.3676	0.5954	34.2032
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	5a767fc1-02ef-45ae-a69e-95b1d65a5934	Detection		NeuN: Ignore*	Root object (Image)	Polygon	627.68	347.99	2497.1716	437.3491	5621.9526	682.121	0.6122	38.5109
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	fc9ef7f1-4260-4110-ace6-0c5416311d62	Detection		NeuN: Ignore*	Root object (Image)	Polygon	399.58	916.67	1921.2322	494.5893	5320.3335	678.8582	0.6629	33.0475
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	e8c1bd7c-1e2d-4770-9f3a-95b9e4ea90c4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	534.8	478	1371.7665	317.8383	4031.3772	677.7389	0.6343	35.2556
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	d179c627-3223-40ec-84df-4acc3c6c0c78	Detection		NeuN: Ignore*	Root object (Image)	Polygon	909.34	585.54	1743.9031	454.7455	7272.5938	671.8676	0.5445	37.8484
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	90377618-314d-4bbe-aad3-22630df39f6c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	320.59	506.84	2245.4277	430.7289	3403.6204	669.886	0.6248	38.2772
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	ecff5a2f-e0ca-41b7-99c8-af51cbc44d33	Detection		NeuN: Ignore*	Root object (Image)	Polygon	959.54	769.73	2091.4602	705.957	6363.46	663.2214	0.598	35.3335
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	7a29c360-add8-4b37-818e-5e642a97a81e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	942.29	571.09	1891.3875	414.875	6452.1123	651.5021	0.5685	40.8725
